Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
U11,DONE_0,NA,0,NA,NA,CONFIG,NA
A11,DXP_0,NA,0,NA,NA,CONFIG,NA
C12,GNDADC_0,NA,0,NA,NA,CONFIG,NA
C13,VCCADC_0,NA,0,NA,NA,CONFIG,NA
B12,VREFP_0,NA,0,NA,NA,CONFIG,NA
B13,VN_0,NA,0,NA,NA,CONFIG,NA
C9,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
C8,TCK_0,NA,0,NA,NA,CONFIG,NA
B11,DXN_0,NA,0,NA,NA,CONFIG,NA
A13,VREFN_0,NA,0,NA,NA,CONFIG,NA
A12,VP_0,NA,0,NA,NA,CONFIG,NA
C11,CCLK_0,NA,0,NA,NA,CONFIG,NA
V13,M0_0,NA,0,NA,NA,CONFIG,NA
W13,M1_0,NA,0,NA,NA,CONFIG,NA
W12,INIT_B_0,NA,0,NA,NA,CONFIG,NA
W11,TDI_0,NA,0,NA,NA,CONFIG,NA
V10,TDO_0,NA,0,NA,NA,CONFIG,NA
U13,M2_0,NA,0,NA,NA,CONFIG,NA
U12,CFGBVS_0,NA,0,NA,NA,CONFIG,NA
U10,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
W10,TMS_0,NA,0,NA,NA,CONFIG,NA
D17,IO_0_14,NA,14,NA,NA,HR,NA
D18,IO_L1P_T0_D00_MOSI_14,0,14,NA,NA,HR,NA
D19,IO_L1N_T0_D01_DIN_14,0,14,NA,NA,HR,NA
E19,IO_L2P_T0_D02_14,0,14,NA,NA,HR,NA
F19,IO_L2N_T0_D03_14,0,14,NA,NA,HR,NA
E17,IO_L3P_T0_DQS_PUDC_B_14,0,14,NA,NA,HR,NA
E18,IO_L3N_T0_DQS_EMCCLK_14,0,14,NA,NA,HR,NA
G18,IO_L4P_T0_D04_14,0,14,NA,NA,HR,NA
H18,IO_L4N_T0_D05_14,0,14,NA,NA,HR,NA
F17,IO_L5P_T0_D06_14,0,14,NA,NA,HR,NA
G17,IO_L5N_T0_D07_14,0,14,NA,NA,HR,NA
G19,IO_L6P_T0_FCS_B_14,0,14,NA,NA,HR,NA
H19,IO_L6N_T0_D08_VREF_14,0,14,NA,NA,HR,NA
A17,IO_L6N_T0_VREF_15,0,15,NA,NA,HR,NA
A14,IO_L10P_T1_AD4P_15,1,15,NA,NA,HR,NA
A15,IO_L10N_T1_AD4N_15,1,15,NA,NA,HR,NA
B16,IO_L11P_T1_SRCC_AD12P_15,1,15,NA,NA,HR,NA
A16,IO_L11N_T1_SRCC_AD12N_15,1,15,NA,NA,HR,NA
C15,IO_L12P_T1_MRCC_AD5P_15,1,15,NA,NA,HR,NA
B15,IO_L12N_T1_MRCC_AD5N_15,1,15,NA,NA,HR,NA
C16,IO_L13P_T2_MRCC_15,2,15,NA,NA,HR,NA
B17,IO_L13N_T2_MRCC_15,2,15,NA,NA,HR,NA
B18,IO_L14P_T2_SRCC_15,2,15,NA,NA,HR,NA
A18,IO_L14N_T2_SRCC_15,2,15,NA,NA,HR,NA
C17,IO_L19N_T3_A21_VREF_15,3,15,NA,NA,HR,NA
G3,IO_0_34,NA,34,NA,NA,HR,NA
G2,IO_L1P_T0_34,0,34,NA,NA,HR,NA
G1,IO_L1N_T0_34,0,34,NA,NA,HR,NA
H3,IO_L2P_T0_34,0,34,NA,NA,HR,NA
H2,IO_L2N_T0_34,0,34,NA,NA,HR,NA
H1,IO_L3P_T0_DQS_34,0,34,NA,NA,HR,NA
J1,IO_L3N_T0_DQS_34,0,34,NA,NA,HR,NA
K2,IO_L4P_T0_34,0,34,NA,NA,HR,NA
K1,IO_L4N_T0_34,0,34,NA,NA,HR,NA
J3,IO_L5P_T0_34,0,34,NA,NA,HR,NA
K3,IO_L5N_T0_34,0,34,NA,NA,HR,NA
